okay|0kkay
puppet|pawpawty
peace|payce
paid|payed
paying|payin
peace|pce
pack|pck
packaged|pckged
picture|pct
paid|pd
paradox|pdx
peace|peacerzzz
pedicure|pedi
pee|peepee
people|peeps
pushed|peeshed
people|peope
people|peoplee
people|peopleeeee
performance|perf
perfect|perfecto
perfect|perfects
performance|perfomence
performing|performin
permanent|perm
pervert|perv
personal|pessoal
fat|phat
phenomenal|phenominal
puff|phff
philippines|philipines
philosophy|philos
phone|phne
phone|phon
phone|phonee
phone|phoneee
phone|phonne
photographer|photog
phrase|phrame
phoenix|phx
physical|physc
picture|pic
piercing|piercin
puff|piff
picked|pikd
piker|pikir
pick|pikk
pineapple|pinaple
pineapple|pinapple
pissed|pissd
pissing|pissin
pissed|pizaid
people|pl
place|plac
planning|plannin
play|playa
play|playaa
player|playaa
please|pleaaasee
please|pleas
please|pleasee
please|pleaseee
please|pleaseeee
please|pleaseeeee
please|pleaseeeeeee
pleasure|pleaseure
pleasing|pleasin
pleasure|pleasue
please|pleaz
please|pleaze
please|pleease
please|pleeease
please|pleeeeease
please|pleeeese
please|pleez
please|plelase
please|pls
please|plse
plumb|plumba
please|plz
please|plzx
please|plzz
please|plzzz
please|plzzzz
please|plzzzzz
please|plzzzzzz
ahead|pnah
point|pnt
poacher|pochero
poke|pok
poker|pok
political|politial
politic|politik
polite|pollite
probably|polly
pomegranate|pomegranite
poop|pooo
poor|pooo
popular|populares
portfolio|portfoli
portugal|portuagal
positive|positief
possession|possesion
post|possstttt
post|postt
people|ppl
people|pple
please|ppls
please|pppplllleeaassee
practically|pract
practical|practicals
practicing|practicin
practice|practise
preach|preachn
appreciate|preciate
pretty|preeetty
preference|pref
preference|preferenc
perform|preform
pregnant|preggo
prepare|prep
press|pres
prescription|presc
present|pressie
press|pressie
presents|pressies
pressure|pressu
pretty|prety
president|prez
profile|prfile
printing|priniting
probably|prob
probably|probabably
probably|probablly
probably|probally
problem|problemo
probably|probly
probably|probs
professional|prof
professor|prof's
professor|proffesor
profile|profil
program|prog
project|projekt
probably|prolly
promotion|promocion
prophecy|prophy
proposal|props
portion|prortion
protection|protectin
prove|prov
prayer|pryr
psych|psyc
part|pt
perfect|ptf
public|publix
please|pulease
pumping|pumpin
punk|punkkkk
pure|puree
purpose|purps
pushing|pushin
pussy|puss
putting|putin
put|putt
putting|puttin
password|pw
powered|pwd
pajamas|pyjama
pajamas|pyjamas
barbequed|q'd
garbage|qarbaqeeeeee
graphic|qarbaqeeeeee
get|qet
cuing|qeueing
giant|qiant
quick|qik
girl|qirl
glass|qlass
queensland|qld
going|qoin
going|qoinq
good|qood
got|qot
great|qreat
quarter|qtr
quarters|quaters
queen|queeen
query|quer
quest|queso
quick|quickk
queen|quien
query|quiero
quick|quiick
quite|quita
quoting|quotinqq
quiz|qz
are|r
rachel|raachel
red|rad
radical|radd
rain|rainha
rap|rappe
rapping|rappin
rare|rarr
rating|ratng
road|rd
riding|rdg
regarding|rdg
reading|rding
ready|rdy
regarding|re
really|reaalll
reading|readin
ready|readyy
really|reali
really|realli
really|realllyyy
really|reallyyy
really|reallyyyyy
really|realy
repair|reapair
red|reb
record|rec
receive|receiv
recently|recentlu
receive|recieve
recommend|recomend
receipt|recpt
ready|redi
ridiculous|rediculous
referring|reffering
reference|refrence
register|reg
registration|registation
rehearsal|rehersal
real|rel
release|rel
relationship|relaionship
related|relat
really|rele
release|releas
remember|remeber
remember|remem
remember|rememer
reenactment|renactment
represent|repersent
reply|repl
replaced|replacedd
reply|replyyyyyyyyyyyy
request|repuest
request|req
resolution|res
reservation|reservati
reset|resit
responsible|responceble
rest|reste
rest|restt
restaurant|resturant
retarded|retarted
reach|retch
retire|retir
right|rght
there|rhere
rum|rhum
ride|rideee
ridiculous|ridic
riding|ridin
right|righ
right|righht
right|rightt
right|riiiight
right|riiiiight
ringing|ringin
report|riparte
right|riqht
right|rite
right|ritee
rise|rize
real|rl
really|rlly
really|rly
room|rm
robbing|robbin
rock|roc
road|roid
rolling|rollin
wrong|rong
room|roomie
routine|rou
row|rou
routine|routi
russia|rsa
writing|rting
retail|rtl
rubbing|rubbin
rules|rulez
remarried|rumoured
running|runnin
revoke|rvc
right|ryt
right|ryte
song|s0ng
self|s3lf
said|saaid
say|saay
sad|sadd
sad|saddd
safe|safeee
said|saidd
said|saiid
sake|sakee
same|samee
same|sameg
sandwich|sammich
sandwich|sandwhich
season|saosin
saturday|sartuday
saturday|satday
satisfied|satified
saturday|saturdayyy
taught|saught
sausage|sausge
saying|sayin
saying|sayn
say|sayy
scantily|scanitly
scary|scarry
scary|scaryyy
school|sch
shed|sched
schedule|sched
scheming|schemin
school|schhool
school|schl
school|schooll
school|schoool
school|schooool
sweet|schweet
science|sci
scientific|scifi
scoop|scoo
scraping|scrapping
scan|scrawny
scream|screamo
screen|scrn
season|seaosn
searching|searchin
second|sec
said|sed
see|seee
seeing|seein
sleepy|seepy
say|seh
scale|sekali
security|sekurity
celebrate|selebi
sales|seleseeee
selling|sellin
semester|sem
swamp|sembuh
sum|semua
sense|sence
sending|sendi
sending|sendin
sneak|senoko
separate|seperate
september|sept
series|serie
series|serius
service|serv
serving|servin
session|sesh
sexy|sexi
shit|sh
she'll|sh3ll
shall|sh3ll
shaking|shakin
shall|shal
share|shareeee
chat|shat
shaving|shavin
should|shd
she|shee
she's|shes
shit|shet
she|shhh
shit|shhhiiitttt
shit|shid
shit|shiettt
shit|shii
shit|shiiiid
shit|shiiit
shit|shiit
shine|shinee
shining|shinin
shit|shite
shit|shitt
shitting|shittin
shit|shittt
shit|shitttttttt
shit|shiz
shit|shizz
should|shld
show|sho
school|shool
sure|shooo
shopper|shoper
shop|shopp
shopping|shoppin
shouldn't|shouldnt
shout|shoutt
showcase|showcse
showing|showin
show|showw
showing|showwing
show|showwwww
short|shrt
shit|sht
should|shud
shouldn't|shudnt
should|shuld
should|shuold
shit|shxt
shit|shyt
shit|shyte
shit|shytt
shit|shyyytt
sign|sian
sing|siang
sick|sickk
sick|sickkkk
sick|siiiick
sir|siirrrr
sincerely|sincerly
singing|singin
sipping|sippin
sister|sis
sister|sist
sister|sista
sister|sistaa
sitting|sit'n
sixth|sith
situation|sitscation
sitting|sittin
skate|ska
schedule|skedule
school|skewl
school|skl
school|skoo
school|skool
school|skul
slack|slackkkkkk
slapping|slapin
slapping|slappin
sleep|sleeeep
sleep|sleeep
sleeping|sleepin
slept|slepy
self|slf
slow|slo
sleep|slp
silver|slvr
some|sm
smacking|smackin
some|sme
somebody|smebody
smelling|smellin
smile|smileeee
smoking|smokin
smoking|smokn
smooth|smoothie
smooth|smoove
something|smth
something|smthg
something|smthin
smashed|smushed
snapping|snappn
since|snc
send|snd
sending|snding
snell|snel
snoring|snorin
senior|snr
snugly|snuggly
sinus|snus
social|soc
socialism|socilism
something|soemething
some|som
someone|som1
someone|some1
some|somee
something|somethig
something|somethin
something|somethingg
something|somethinggg
something|somethink
somewhere|somewhr
somehow|somhow
something|sommethingg
someone|somone
something|somthin
something|somthing
song|sonq
soon|soonn
sooner|soonnerr
soon|sooon
show|soow
sorry|sorri
sorry|sorryyy
yes|sou
sounding|soundin
sorry|soz
sporadic|sparatic
space|spaz
space|spazz
speechless|speachless
special|speacial
speaking|speakin
spend|spen
spending|spendin
spending|spendingg
special|speshulll
special|spesial
spread|sphread
spit|spijt
spilling|spillin
spinning|spinnin
spitting|spittin
suppose|spose
supposed|spose
square|sq
come|sqm
serious|sr's
search|src
sorry|srry
seriously|srsly
sorry|sry
street|sstreet
stan|staan
stadium|stadion
statement|staement
standing|standin
standing|standn
starred|starrer
staring|starring
start|starti
starving|starvin
status|statuses
staying|stayin
stay|stayy
stealing|stealin
steam|steem
stepping|steppin
staff|stf
something|sth
something|sthingz
sticking|stickin
still|stil
stimulus|stim
stinking|stinkin
station|stn
stomach|stomache
stomach|stomatch
stupid|stoopid
stopped|stoped
stopping|stoppin
store|stor
story|stor
stop|stp
star|str
strict|strickd
still|strilla
start|strt
struggle|strug
studio|studo
studying|studyin
stupid|stupidd
studied|sty'd
subscription|subsription
succeed|succed
successfully|succesfully
suck|sucka
sucking|suckin
suck|suckkkk
should|sud
sugar|suga
suing|suin
suck|suka
some|sum
someone|sum1
somebody|sumbdy
somebody|sumbodi
somebody|sumbody
somebody|sumbori
somehow|sumhow
something|summin
some|sumn
someone|sumone
something|sumthin
something|sumthing
something|sumthn
sometimes|sumtimes
something|sumtin
somewhere|sumwhere
somewhere|sumwhr
sent|sunt
sunny|suny
super|sup
super|supa
super|superrrr
supposed|suposed
supposed|supossed
support|supp
super|supr
surprise|suprise
sure|suree
suppose|surpose
something|suttin
suck|suuck
sun|suuuuuuuunnnn
sucks|sux
service|svc
services|svcs
swing|swang
swear|swea
sweating|sweatin
sweet|sweeeeeeet
sweet|sweeeeeet
sweet|sweeeet
sweet|sweeet
sweeting|sweetiing
swimming|swimmig
sweet|swt
saying|syaing
saying|syg
size|sz
today|taday
tackle|tagal
toggle|tagal
take|tak
taking|takin
taking|takinq
tales|talez
tomorrow|tamorow
retard|tard
yard|tard
that|tat
that's|tats
tattoo|tatt
tattooed|tatted
traffic|taufik
talk|tawk
stay|tay
day|tay
today|tday
tea|teaa
technology|technolo
team|teeammo
television|teevee
the|teh
tail|teil
take|tek
taken|tekken
tell|tel
telling|tellin
telling|telln
temporary|temp
tense|tenso
terms|terus
today|tewday
text|textt
text|texxt
they|tgey
toggle|tgl
the|th
though|th0
there|th3
the|th3
the|tha
the|thaa
thing|thang
thanks|thankies
thanksgiving|thanksgivingg
thanks|thankss
thanks|thanksss
thanks|thankx
thanks|thankz
thanks|thanx
thanks|thanxs
thanks|thanxx
that's|thas
that's|thass
that's|thats
that|thatt
that's|thatz
they|thay
they're|the're
theater|thearter
theater|theaterr
the|thee
the|theee
thief|theif
them|themm
them|themmmmm
then|thenn
there|ther
thoroughly|theraflu
therefore|therfore
that|thet
they're|theyre
this|thia
this|thiis
thinking|thinkin
thinking|thinkinq
think|thinkk
thinking|thinkn
thing|thinq
this|thiss
this|thiz
think|thk
thanks|thks
them|thm
then|thn
thing|thng
think|thnk
thank|thnk
thanks|thnks
thanks|thnx
though|tho
though|thoo
though|thoooo
those|thos3
thought|thot
though|thou
though|thouu
there|thr
there's|thr's
thriller|thril
thrill|thril
throw|thro
through|throug
throw|throwa
through|thru
thursday|thrus
thrust|thrus
this|ths
that|tht
that's|thts
thursday|thu
thursday|thurs
though|thw
the|thw
through|thw
thanks|thx
thanks|thxs
they|thy
they|thye
tired|tierd
till|til
time|timee
time|timeee
thing|ting
tiny|tini
think|tink
tired|tiredd
this|tis
tight|tite
tired|tiyad
take|tk
take|tke
thanks|tks
thanks|tkx
told|tld
talk|tlk
tomorrow|tmo
tomb|tmob
tomorrow|tmr
tomorrow|tmrrw
tomorrow|tmrw
tomorrow|tmw
the|tne
thanks|tnx
today|toda
today|todaaay
today|todaii
today|todayy
today|todayyy
together|toether
together|togeher
together|togetha
tomorrow|tomarrow
tomorrow|tomm
tomorrow|tommm
tomorrow|tommororw
tomorrow|tommorow
tomorrow|tommorrow
tomorrow|tomo
tomorrow|tomoro
tomorrow|tomorow
tomorrow|tomorro
tomorrow|tomorrw
tomorrow|tomoz
tomorrow|tomr
tomorrow|tomrrow
tomorrow|tomrw
tonight|tonightt
tonight|tonite
too|tooo
too|toooo
took|tooookk
too|tooooo
too|toooooo
too|toooooooo
topic|topin
together|toqetherr
totally|totaly
touching|touchin
taught|tought
thought|tought
touch|tounch
toy|toya
tom|tpm
try|tr
try|tra
trade|trad
tradition|tradtion
training|trainin
transformer|transformar
transfer|transfu
transport|transportttt
tribe|trife
tripping|triphynnnnn
tripping|tripn
tripping|trippen
tripping|trippin
term|trm
topic|tropic
try|trrrrry
true|tru
truck|trucc
true|truee
truly|truely
trust|truss
true|truu
tried|tryed
trying|tryg
trying|tryin
trying|tryingg
trying|tryn
attack|ttack
track|ttack
tomato|ttmt
that's|tts
today|tuday
studio|tudio
tuesday|tue
tuesday|tues
tuesdays|tuesdayss
tough|tuff
tumbler|tumblr
turning|turnin
turn|turnt
television|tv
that|twat
twitter|twee
sweetheart|tweetheart
twice|twic
twitter|twiiter
twin|twinn
twitter|twiter
twitter|twitta
twitter|twitterrrrr
tweet|twt
twitter|twttr
tweet|twvt
texas|tx
text|txt
time|tym
time|tyme
you|u
your|u'r
your|uaa
ugh|ugggh
unbelievable|unbeilevable
and|und
unread|undead
under|undef
understand|undrstnd
unforgettable|unforgetable
university|uni
unique|uniique
university|univ
out|uo
upgrading|upgrade'n
upgrading|upgradin
your|ur
urgent|urgt
urethra|urithra
yours|urs
yourself|urself
ourself|urslef
yours|urss
worth|urthe
yours|urz
scan|uscan
using|usin
upstream|ustream
using|usuing
united|utd
you|uu
ugh|uughh
your|uur
you|uuu
you|uuuu
you|uuuuuuu
universe|uverse
usually|uysualy
vacation|vacay
vacancy|vacay
vacuum|vaccuum
vagina|vag
vice|vce
have|ve
vegetarian|veg
vegetarian|vegeterian
very|vere
virginity|verginity
version|versi
very|veryy
veteran|vetera
video|vid
viewer|viewwer
virgin|virgiin
visual|vis
vocabulary|vocab
volume|vol
volume|vom
for|voor
viral|vooral
very|vry
vintage|vtg
with|w
wait|w8
was|wa
way|waaaay
way|waaay
want|waanntt
was|wad
warm|wahm
what|waht
wait|waiiiit
wait|waiiit
wake|waka
wake|wakee
waking|wakin
walking|walkin
want|wannt
wanting|wantin
want|wantt
want|wanttttt
wares|warez
wasn't|wasn
wasn't|wasnt
was|wass
wasted|wastedddddd
what|wat
watch|watc
whatever|wateva
whatever|watever
what's|wats
what|watt
way|wayy
way|wayyy
way|wayyyy
was|waz
would|wd
wear|wea
wearing|wearin
wednesday|weds
weed|weeeeeed
weekend|weeknd
weight|weighh
weird|weirddd
well|wel
welcome|welcom
welcome|welcomee
well|welll
when|wen
were|wer
weird|werdd
weren't|werent
work|werk
weaken|werken
foster|wfoster
wet|wft
with|wh
what|wha
what|whaa
what|whaaa
what|whaaaaaat
what|whaaaaat
what|whaaaat
what|whaaaatttttt
what|whaaat
what|whaat
what|whaht
was|whas
whatever|whatev
whatever|whateva
whatever|whateverrrrr
whatever|whatevs
what|whatt
what|whattt
what|whattttt
what's|whatz
when|whe
wheelchair|wheelchr
when|whem
when|whennn
when's|whens
where|wher
where|whereeee
whereas|wheres
where|wherre
whether|whethr
what|whhaaatttt
while|whilee
white|whiteee
when|whn
when|whne
who|whoaa
whole|whol
whole|wholee
whole|whooolee
whom|whooomp
who's|whoz
where|whr
what|wht
whatever|whtever
what's|whts
what|whut
what|whuuuuuuttttt
why|whyy
why|whyyy
why|whyyyy
which|wich
with|wid
with|widd
weird|wierd
with|wif
wife|wifey
with|wiff
with|wih
wish|wih
without|wihout
with|wiht
wait|wiit
with|wiith
will|wil
wilding|wildin
will|willl
will|wilst
winning|winnin
with|wird
weird|wird
wish|wishh
whiskey|wiskey
with|wit
with|withe
with|withh
with|witht
without|witout
with|witt
with|wiv
wizard|wizzard
week|wk
weekend|wkend
weekend|wknd
weekends|wknds
will|wl
would|wld
wondering|wndering
wandering|wndering
want|wnt
wonderful|wonderfull
wondering|wonderin
wondering|wonderinf
wonder|wondern
what|wooot
wow|woowww
whopper|wopper
world|wordd
word|worddd
word|wordddd
words|wordz
working|workin
work|workk
working|workn
work|worky
works|worky
world|worlddd
world|worldddd
world|worldw
worried|worri3d
worst|worstttttt
was|wos
what|wot
what's|wots
would|wouldn
wouldn't|wouldnt
wow|woww
wow|wowww
were|wr
workable|wrbl
word|wrd
words|wrds
words|wrdss
were|wre
writing|writin
written|writted
writing|writting
work|wrk
worked|wrkd
worked|wrked
worry|wrry
worst|wrst
was|ws
wasn't|wsnt
what|wt
watch|wtch
would|wud
wouldn't|wudnt
would|wuld
won't|wun
won't|wunt
wont|wunt
want|wunt
was|wus
what|wut
love|wuvv
was|wuz
christmas|x'mas
excellent|xcellent
exclusive|xclusiv
christmas|xmas
christmas|xmass
expensive|xpensive
explain|xplain
extra|xtra
kiss|xxxxxxxxxxxxxxx
why|y
yeah|y3a
you|ya
you|yaa
you|yaaa
yes|yaaa
yes|yaaaaaaaaaaaaaa
away|yaaaay
yeah|yahh
yeah|yahhh
yahoo|yahooo
was|yas
yourself|yaself
way|yayyyy
you|ye
yeah|yea
yeah|yeaa
yeah|yeaaa
yeah|yeaaaa
yeah|yeaaaaaaa
yea|yeaaaaaaa
yes|yeaaaaaaa
yeah|yeaaaaaaaaah
yeah|yeaaah
yeah|yeaaahhhhhh
yeah|yeaah
yes|yeaah
yeah|yeahh
yeah|yeahhh
yeah|yeahhhh
yeah|yeahhhhh
yeah|yeeaaa
yeah|yeeaaahhhh
yeah|yeeah
you|yeeee
yes|yeeeeeeeeees
yet|yeg
yes|yeg
yes|yeh
yeah|yehh
yes|yepp
your|yer
yes|yess
yes|yesss
yes|yessss
yes|yesssss
yes|yessssss
yes|yesssssss
yes|yessssssss
yet|yett
you|yewww
you|yhu
young|yng
you|yo
you|yoo
you|yooo
you|yoooo
you|yooooo
you|yoooooh
you|yooooooou
you|yoooou
you|yooou
you|yoou
you|yor
yourself|yoself
you'll|you'l
you'd|youd
you|youh
you'll|youll
yourself|youreself
you|yous
you|youu
you|youuu
you|youuuu
you|youuuuu
you|youuuuuu
your|yow
you|yow
you|yoww
you|ypu
year|yr
assume|ysm
yet|yt
yesterday|ytday
you|yu
you|yuh
you|yuhh
yes|yup
yes|yupi
yes|yupp
yes|yuppp
your|yur
yes|yussssssss
cute|yute
you|yuu
yes|yuup
yes|yuuup
year|yy
age|yyj
why|yyy
yes|yyz
zimbabwe|zim
zion|zionnnnn
doing|zooin
thanks|10x
quit|21
today|2day
easy|ez
tomorrow|2m
tomorrow|2mm
tomorrow|2moro
tomorrow|2moz
tomorrow|2mro
tomorrow|2mrw
tonight|2nite
tonight|2nyt
forever|4e4
forever|4eva
forever|4ever
forget|4get
fine|5n
nigeria|9ja
alright|a'ight
about|aboot
abbreviation|abreev
absent|absnt
about|abt
about|abwt
account|acc
account|acct
acknowledged|ack
address|addy
administrator|admin
again|agn
alright|aight
alright|aightz
alright|aite
alright|alrite
alright|alrt
alright|alryt
animate|anim8
anonymous|anon
another|anuda
anyways|anw
anyone|any1
anyways|anywaz
apocalypse|apoc
application|app
appointment|appt
appreciate|aprece8
appreciate|apreci8
are|ar
around|arnd
afternoon|arvo
atlanta|atl
attention|attn
avatar|avie
avatar|avtr
avatar|avvie
avatar|avy
awesome|awes
awkward|awk
awesome|awsm
awesome|awsome
alright|ayte
asian|azn
birthday|b'day
because|bcuz
birthday|bday
because|b/c
because|b/cos
background|b/g
between|b/t
between|b/w
boot|b00t
broken|b0rked
before|b4
bait|b8
batteries|b82rez
batteries|b8rez
baby|babi
bye|bai
back|bak
back|bakk
balls|balz
baby|bbe
baby|bbi
baby|bby
because|bc
back|bck
because|bcoz
because|bcuz
birthday|bd
birthday|bday
before|be4
baby|bebe
because|becuse
because|becuz
better|bettr
boob|bewb
boot|bewt
boyfriend|bf
background|bg
bye|bii
neighborhood|bitz
business|biz
busy|bizi
back|bk
believe|bleve
jewelry|bling
black|blk
blue|blu
been|bn
being|bng
banner|bnr
boy|boi
boner|bonr
about|bout
about|bowt
box|boxor
bathroom|br
brother|brah
break|brk
brother|bro
brother|broseph
brother|brover
brother|bruh
brother|bruhh
brother|bruv
brother|bruva
bisexual|bsx
beautiful|btfl
bottom|btm
better|btr
between|btwn
bye|bubi
bucket|bukket
busy|buszay
busy|bz
busy|bzy
busy|bzzy
see|c
cat|c@
camera|cam
cigarette|cancer
sex|cex
sexy|cexy
congratulations|cg
chat|ch@
character|char
cheeseburger|cheezburger
chick|chik
check|chk
character|chr
marijuana|chronic
you|chu
cigarette|cig
seeing|cing
clanless|cless
combo|cmbo
complicated|cmplcdd
complete|cmplte
computer|cmptr
comment|cmt
can|cn
can't|cnt
coming|comin'
coming|comin
comment|comnt
computer|comp
computer|compy
congratulations|congrats
contribution|contrib
conversation|convo
cool|coo
could|cood
because|cos
cigarette|cowboy
because|coz
captain|cptn
computer|cpu
copy|cpy
crate|cr8
happening|crakalakin
creator|cre8or
crap|crp
crazy|crzy
counter|cs
counter|cs 
control|ctrl
goodbye|cu
could|cud
could|culd
vagina|cunt
couple|cuple
cute|cut3
because|cuz
because|cuzz
goodbye|cya
disconnected|d/c
dude|d00d
date|d8
the|da
day|daii
that|dat
that's|dats
friend|dawg
disconnected|dc'd
dictionary|dctnry
dead|ded
these|deez
definitely|def
them|dem
there|der
dude|dewd
they|dey
penis|dick
dies|diez
difference|diff
didn't|din
didn't|din't
this|dis
don't|dnt
friend|dogg
doing|doin
doing|doin'
don't|dont
dude|dood
depressed|dprsd
druid|dr00d
dream|drm
druid|drood
decided|dsided
dumb|dum
don't|dun
duplicate|dupe
down|dwn
example|e.g.
education|edumacation
idiot|eedyat
idiot|eejit
help|ehlp
elite|el!t
hello|ello
hello|elo
them|em
emotional|emo
enough|enof
enough|enuf
enough|enuff
here|ere
everything|errythang
everything|errythin
escape|esc
everyone|ev1
ever|eva
ever|evaa
ever|evaaa
ever|evar
everyone|every1
even|evn
ever|evr
every|evry
everything|evrytin
experience|exp
hey|ey
eyes|eyez
easy|ez
easy|ezi
face|f4c3
fate|f8
fine|f9
fat|f@
fabulous|fab
faggot|faggit
family|fam
masturbate|fap
favorite|fav
favorite|fave
featuring|feat
for|fer
for|ferr
faggot|fgt
fine|fi9
five|fiv
fancy|fnci
funny|fnny
funny|fny
follow|folo
phone|fone
fool|foo
for|fo`
kill|frag
friend|fren
forgot|frgt
friday|fri.
freak|frk
from|frm
friend|frnd
fast|fst
funny|funee
funny|funy
forward|fwd
foxy|fxe
girlfriend|g/f
gay|g3y
gate|g8
gay|g@y
gay|gai
gangster|gangsta
kill|gank
god|gawd
good|gd
ghetto|geto
good|gewd
gay|gey
girlfriend|gf
graphics|gfx
gay|ghei
gay|ghey
guitar|gitar
give|giv
grandma|gma
going|gng
going|goin
gonna|gona
great|gr8
great|gr8t
congratulations|grats
congratulations|gratz
graphics|grfx
girl|grl
grumble|grmbl
beer|grog
girl|grrl
groovy|grvy
gangster|gsta
get|gt
getting|gtn
good|gud
good|gudd
girl|gurl
expert|guru
gay|gy
girl|gyal
however|h/e
homo|h/mo
homework|h/w
water|h2o
hey|h3y
hacker|h4x0r
hacker|h4xor
hacker|h4xr
hacker|h4xx0rz
hacker|h4xxor
hate|h8
hater|h80r
hater|h83r
hated|h8ed
hater|h8er
hater|h8r
hatred|h8red
hate|h8t
hater|h8t0r
hater|h8t3r
hate|h8te
hater|h8tr
hello|hai
hate|hait
hammered|hammrd
have|hav
haven't|havnt
hot|hawt
hottie|hawtie
hacker|hax0r
hacker|haxer
hacker|haxor
hacking|haxoring
hacker|haxxor
hacker|haxxzor
hacker|haxz0r
hacker|haxzor
very|hella
hey|heya
hate|heyt
hello|heyy
hello|heyya
height|hght
hello|hi2u
height|hiet
hello|hiya
hold|hld
hell|hll
hello|hlo
help|hlp
holy|hly
homework|hmewrk
homework|hmw
homework|hmwk
homework|hmwrk
hungry|hngry
home|hom
friend|homey
homosexual|homo
hot|hott
hello|howdey
happy|hppy
happy|hpy
hour|hr
here|hre
horny|hrny
hours|hrs
hater|htr
husband|hubby
honey|hun
have|hv
have|hve
haven't|hvnt
homework|hw
homework|hwk
hardcore|hxc
alright|i8
idiot|id10t
idiot|idjit
idiot|idot
idiot|idyat
alright|ight
alright|iigh
alright|iight
idiot|ijit
into|in2
include|incld
increase|incrse
independent|indie
intelligence|intel
alright|ite
it's|itz
is|iz
you|j00
your|j00r
jailbait|jb
jesus|jebus
semen|jizz
joking|jking
joking|jkn
you|joo
juice|jooce
your|joor
just|jst
just|jsut
just|jus
just|juss
just|juz
just|juzt
you|j00
your|j00r
jailbait|jb
jesus|jebus
semen|jizz
joking|jking
joking|jkn
you|joo
juice|jooce
your|joor
just|jst
just|jsut
just|jus
just|juss
just|juz
just|juzt
cool|k3wl
okay|kay
cool|kewel
cool|kewl
sneakers|kicks
kitten|kitteh
kinky|kky
cool|kl
drunk|knackered
know|kno
know|knw
cool|koo
cool|kool
kiss|kss
cool|kuhl
cool|kul
cute|kute
cool|kuwl
quick|kwik
quit|kwit
quiz|kwiz
cool|kwl
elite|l337
elite|l33t
late|l8
later|l8a
later|l8er
later|l8ers
later|l8rz
later|l8s
later|l8t
later|l8ta
later|l8ter
later|l8tr
laugh|laff
later|lata
later|lates
later|latr
lord|lawd
laser|lazer
laser|lazor
elite|lee7
elite|leet
legitimate|legit
like|leik
lesbian|lesbo
lesbian|lez
lesbian|lezbean
lesbian|lezbo
lesbian|lezzzie
like|liek
like|lik
little|lil
live|liv
like|lk
like|lke
limited|lmtd
link|lnk
love|lov
loser|lozer
loser|lsr
later|ltr
love|luf
love|luff
look|luk
love|lurve
love|luv
lover|luver
love|luvv
loser|luzar
love|lv
love|lve
level|lvl
loving|lvn
lover|lvr
life|lyf
life|lyfe
like|lyk
like|lyk3
like|lyke
laser|lzer
loser|lzr
okay|m'kay
maybe|m/b
friend|m8
mate|m8t
mine|m9
maybe|mabby
maybe|mabe
marvelous|marvy
masturbate|mastrb8
maybe|mayb
mate|mayte
whatever|meh
message|messg
management|mgmt
yes|mhm
microphone|mic
minute|min
minutes|mins
miscellaneous|misc.
myself|miself
might|mite
emily|mle
okay|mmmkay
management|mngmt
manager|mngr
more|mor
tomorrow|moro
message|msg
messenger|msngr
message|mssg
meeting|mtg
matter|mtr
empty|mty
mother|mudda
music|musiq
mother|mutha
mother|muvva
music|muzik
kiss|mwah
man|myke
mine|myn
and|n
any|ne
nevermind|n/m
nickname|n/n
news|n00s
into|n2
native|n8v
grenade|nade
naturally|natch
not|nawt
nobody|nbdy
and|nd
indian|ndn
any|ne
anyone|ne1
anything|nefing
naked|nekkid
anymore|nemore
anything|nethin
anything|nething
never|neva
never|nevah
never|nevar
never|nevarz
never|nevr
anyways|newais
anyway|neway
anyways|neways
anyways|newayz
anyways|newez
night|nite
enjoy|njoy
naked|nkd
number|nmbr
enemy|nme
know|noe
sex|nookie
nothing|notin
knowing|nowin
nope|npe
energy|nrg
nice|ns
nothing|nthg
nothing|nthin
nothing|nthn
nothing|ntn
new|nu
enough|nuff
nothing|nuffin
nothing|nufin
nothing|nutin
nothing|nuttin
envy|nv
nevermind|nvmd
never|nvr
nevermind|nvrm
next|nxt
anyone|ny1
anyway|nywy
object|obj
obviously|obv
obviously|obvi
occupation|occ
often|of10
often|oftn
okay|ok
operator|op
orgasm|orgy
over|ova
out|owt
password|p/w
poop|p00p
penis|p33n
penis|p3n0r
penis|p3n15
penis|p3n1s
probably|pbly
peace|pce
percent|pcent
penis|peanus
repost|pearoast
people|peeps
penis|pen0r
penis|pen15
penis|penor
people|peoples
pervert|perv
poop|pewp
profile|pf
page|pg
fear|ph33r
fear|ph34r
fail|phail
fail|phayl
fear|phear
freak|phreak
picture|pic
filipino|pino
please|pl0x
plate|pl8
please|ple's
please|pleaz
please|pleez
please|pleeze
please|pleze
please|pliz
please|plocks
please|plox
please|ploxxorz
please|pls
please|plse
please|plx
please|plz
penis|pns
penis|pnus
police|po
poop|poo
computer|pooter
police|popo
people|ppl
people|ppls
people|pplz
professional|pr0
problem|prblm
period|prd
pregnant|preggers
pregnant|prego
perfect|prfct
principal|prncpl
princess|prncss
professional|pro
problem|prob
probably|probly
probably|probz
product|prod
probably|prolly
probably|prollz
proxy|proxie
person|prsn
party|prty
private|prv
pervert|prvrt
pretty|purty
computer|puter
pervert|pvt
password|pwd
owner|pwn3r
owner|pwner
owner|pwnzor
power|pwor
peace|pz
queer|q33r
cool|ql
cool|qool
cool|qoolz
cutie|qt
cutie|qte
rate|r8
rape|r8p
rapist|r8pist
